Product_Name,Category
T-Shirt,Apparel
Jeans,Apparel
Jacket,Outerwear
Sneakers,Shoes
Sweater,Apparel
Hat,Accessories
Boots,Shoes
Scarf,Accessories
Gloves,Accessories
Shorts,Apparel
Hoodie,Apparel
Socks,Apparel
Blazer,Apparel
Blazer,Apparel
Chinos,Apparel
Chinos,Apparel
Running Shoes,Shoes
Watch,Accessories
Belt,Accessories
Baseball Cap,Accessories
Windbreaker,Outerwear
Flip Flops,Shoes
Cardigan,Apparel
Cargo Pants,Apparel
Tote Bag,Accessories
Bomber Jacket,Outerwear
Laptop Sleeve,Accessories
Jeans,Apparel
Sneakers,Shoes
Tennis Shoes,Shoes
Fleece Jacket,Outerwear
Fedora,Accessories
Cashmere Sweater,Apparel
Sandals,Shoes
Turtle Neck,Apparel
Sweatpants,Apparel
Puffer Jacket,Outerwear
Peacoat,Outerwear
Messenger Bag,Accessories
Knitted Gloves,Accessories
Windbreaker Jacket,Outerwear
Breezy Pants,Apparel
Canvas Shoes,Shoes
Linen Shirt,Apparel
Chukka Boots,Shoes
Track Jacket,Outerwear
Cargo Shorts,Apparel
Running Shorts,Apparel
Double-Breasted Coat,Outerwear
Printed T-Shirt,Apparel
Luxury Scarf,Accessories
Leather Jacket,Outerwear
