Baseball Cap,Accessories
Belt,Accessories
Blazer,Apparel
Bomber Jacket,Outerwear
Boots,Shoes
Breezy Pants,Apparel
Canvas Shoes,Shoes
Cardigan,Apparel
Cargo Pants,Apparel
Cargo Shorts,Apparel
Cashmere Sweater,Apparel
Chinos,Apparel
Chukka Boots,Shoes
Double-Breasted Coat,Outerwear
Fedora,Accessories
Fleece Jacket,Outerwear
Flip Flops,Shoes
Gloves,Accessories
Hat,Accessories
Hoodie,Apparel
Jacket,Outerwear
Jeans,Apparel
Knitted Gloves,Accessories
Laptop Sleeve,Accessories
Leather Jacket,Outerwear
Linen Shirt,Apparel
Luxury Scarf,Accessories
Messenger Bag,Accessories
Peacoat,Outerwear
Printed T-Shirt,Apparel
Product_Name,Category
Puffer Jacket,Outerwear
Running Shoes,Shoes
Running Shorts,Apparel
Sandals,Shoes
Scarf,Accessories
Shorts,Apparel
Sneakers,Shoes
Socks,Apparel
Sweater,Apparel
Sweatpants,Apparel
T-Shirt,Apparel
Tennis Shoes,Shoes
Tote Bag,Accessories
Track Jacket,Outerwear
Turtle Neck,Apparel
Watch,Accessories
Windbreaker Jacket,Outerwear
Windbreaker,Outerwear
